2vuy;YUV;;;;;;YUV;4:2:2
2Vuy;YUV;;;;;;YUV;4:2:2
8BPS;RGB;;;;;;RGB;8:8:8
ac16;YUV;;;;;;YUV;4:2:2
ac32;YUV;;;;;;YUV;4:2:2
acBG;YUV;;;;;;YUV;4:2:2
apch;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;422 HQ;;YUV;4:2:2
apcn;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;422;;YUV;4:2:2
apcs;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;422 LT;;YUV;4:2:2
apco;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;422 Proxy;;YUV;4:2:2
ap4c;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;4444;;;4:4:4
ap4h;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;4444;;;4:4:4
ap4x;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;4444 XQ;;;4:4:4
aprh;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;RAW HQ;;;
aprn;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;RAW;;;
apro;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;;;;
aprs;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;;;;
aprx;ProRes;;;http://www.apple.com/quicktime/download/standalone.html;;;;
ai12;AVC;;Advanced Video Coding;;;;
ai13;AVC;;Advanced Video Coding;;;;
ai15;AVC;;Advanced Video Coding;;;;
ai16;AVC;;Advanced Video Coding;;;;
ai1p;AVC;;Advanced Video Coding;;;;
ai1q;AVC;;Advanced Video Coding;;;;
ai22;AVC;;Advanced Video Coding;;;;
ai23;AVC;;Advanced Video Coding;;;;
ai25;AVC;;Advanced Video Coding;;;;
ai26;AVC;;Advanced Video Coding;;;;
ai2p;AVC;;Advanced Video Coding;;;;
ai2q;AVC;;Advanced Video Coding;;;;
ai52;AVC;;Advanced Video Coding;;;;
ai53;AVC;;Advanced Video Coding;;;;
ai55;AVC;;Advanced Video Coding;;;;
ai56;AVC;;Advanced Video Coding;;;;
ai5p;AVC;;Advanced Video Coding;;;;
ai5q;AVC;;Advanced Video Coding;;;;
AV01;AV1;;;;;;
AV1x;YUV;;;;;;YUV;4:2:2
avc1;AVC;;Advanced Video Coding;;;;;
avc2;AVC;;Advanced Video Coding;;;;;
avc3;AVC;;Advanced Video Coding;;;;;
avc4;AVC;;Advanced Video Coding;;;;;
avcp;AVC;;Advanced Video Coding Parameters;;;;
AVDJ;JPEG;;Avid
AVdv;DV;;Avid;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
AVd1;DV;;Avid;http://www.apple.com/quicktime/download/standalone.html;;;
AVdh;VC-3;;Avid DNxHR;http://www.apple.com/quicktime/download/standalone.html;;;;
AVdn;VC-3;;Avid DNxHD;http://www.apple.com/quicktime/download/standalone.html;;;;
AVin;AVC;;Advanced Video Coding;;;;;
AVJI;Avid Meridien Compressed;;;;;;
AVmp;MPEG Video;Avid IMX;;;;Version 2;;;
AVUI;Avid Meridien Uncompressed;;;;;;
avr ;JPEG;;;;;;;
AVrp;RGB;Avid;;;;;RGB;
b16g;Gray;;;;;;Y;16
b32a;Gray/Alpha;;;;;;YA;16:16
b48r;RGB;;;;;;RGB;16:16:16
b64a;RGBA;;;;;;RGBA;16:16:16:16
base;RGBA;;;;;;RGBA;16:16:16:16
blit;RGBA;;;;;;RGBA;16:16:16:16
blnd;Alpha Compositor;;;;;;;
blur;Blur;;;;;;CMYK;
brlt;Blackmagic RAW;;;https://www.blackmagicdesign.com/products/blackmagicraw;LT;;;
brxq;Blackmagic RAW;;;https://www.blackmagicdesign.com/products/blackmagicraw;XQ;;;
CFHD;CineForm;;CineForm High-Definition (HD) wavelet codec;http://www.cineform.com/;;;;
CHQX;Canopus HQX;;;;;;;
CLLC;Canopus Lossless;;;;;;;
CUVC;Canopus HQ;;;;;;;
cmyk;CMYK;;;;;;;
cvid;Cinepak;;;http://www.apple.com/quicktime/download/standalone.html;;;;
drac;Dirac;;Dirac Video Coder;http://www.bbc.co.uk/rd/projects/dirac/index.shtml;;;;
dslv;Cross Fade;;;http://www.apple.com/quicktime/download/standalone.html;;;;
DV10;Digital Voodoo;;Digital Voodoo 10 bit Uncompressed 4:2:2 codec;http://www.digitalvoodoo.net/;;;;
dv5n;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dv5p;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvav;AVC;;Advanced Video Coding with Dolby Vision;;;;;
dva1;AVC;;Advanced Video Coding with Dolby Vision;;;;;
dvc ;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvcp;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvhe;AVC;;High Efficiency Video Coding with Dolby Vision;;;;;
dvh1;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
dvh2;DV;;;http://www.apple.com/quicktime/download/standalone.html;;;YUV;4:2:2
